Postcode,Locality,State,Longitude,Latitude,SA3,SA3 Name,SA4,SA4 Name,Region
3042,AIRPORT WEST,VIC,144.866305,-37.727529,21001.0,Keilor,210.0,Melbourne - North West,R1
3042,KEILOR PARK,VIC,144.866305,-37.727529,21001.0,Keilor,210.0,Melbourne - North West,R1
3042,NIDDRIE,VIC,144.866305,-37.727529,21001.0,Keilor,210.0,Melbourne - North West,R1
3043,GLADSTONE PARK,VIC,144.88836799999999,-37.691916,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3043,GOWANBRAE,VIC,144.88836799999999,-37.691916,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3043,TULLAMARINE,VIC,144.88836799999999,-37.691916,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3044,PASCOE VALE,VIC,144.93635600000002,-37.731138,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3044,PASCOE VALE SOUTH,VIC,144.93635600000002,-37.731138,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3045,MELBOURNE AIRPORT,VIC,144.836195,-37.674739,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3046,GLENROY,VIC,144.927968,-37.706578,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3046,HADFIELD,VIC,144.927968,-37.706578,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3046,OAK PARK,VIC,144.927968,-37.706578,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3047,BROADMEADOWS,VIC,144.930247,-37.681105,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3047,DALLAS,VIC,144.930247,-37.681105,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3047,JACANA,VIC,144.930247,-37.681105,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3048,COOLAROO,VIC,144.923609,-37.653917,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3048,MEADOW HEIGHTS,VIC,144.923609,-37.653917,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3049,ATTWOOD,VIC,144.88849199999999,-37.673182000000004,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3049,WESTMEADOWS,VIC,144.88849199999999,-37.673182000000004,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3050,ROYAL MELBOURNE HOSPITAL,VIC,144.95458100000002,-37.800323999999996,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3051,NORTH MELBOURNE,VIC,144.94355900000002,-37.8006,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3052,MELBOURNE UNIVERSITY,VIC,144.948903,-37.788996000000004,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3052,PARKVILLE,VIC,144.948903,-37.788996000000004,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3053,CARLTON,VIC,144.966112,-37.803569,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3053,CARLTON SOUTH,VIC,144.966112,-37.803569,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3054,CARLTON NORTH,VIC,144.96724,-37.786971,20607.0,Yarra,206.0,Melbourne - Inner,R1
3054,PRINCES HILL,VIC,144.96724,-37.786971,20607.0,Yarra,206.0,Melbourne - Inner,R1
3055,BRUNSWICK SOUTH,VIC,144.942222,-37.763584,20603.0,Essendon,206.0,Melbourne - Inner,R1
